time,prcp,cumulative
1997-08-19 10:00:00,0.071,0.071
1997-08-19 11:00:00,0.169,0.24
1997-08-19 12:00:00,0.201,0.441
1997-08-19 13:00:00,0.071,0.512
1997-08-19 14:00:00,0.012,0.524
1997-08-19 15:00:00,0.201,0.7250000000000001
1997-08-19 16:00:00,0.39,1.1150000000000002
1997-08-19 17:00:00,0.591,1.7060000000000002
1997-08-19 18:00:00,0.28,1.9860000000000002
1997-08-19 19:00:00,0.209,2.1950000000000003
1997-08-19 20:00:00,0.079,2.2740000000000005
1997-08-19 21:00:00,0.098,2.3720000000000003
1997-08-19 22:00:00,0.24,2.612
1997-08-19 23:00:00,0.02,2.632
1997-08-20 00:00:00,0.24,2.872
1997-08-20 01:00:00,0.142,3.014
1997-08-20 02:00:00,0.079,3.093
1997-08-20 03:00:00,0.012,3.105
1997-08-20 04:00:00,0.059,3.164
1997-08-20 05:00:00,0.02,3.184
