time,prcp,cumulative
1955-07-08 01:00:00,0.358,0.358
1955-07-08 02:00:00,0.531,0.889
1955-07-08 03:00:00,0.11,0.999
1955-07-08 04:00:00,0.819,1.818
1955-07-08 05:00:00,0.63,2.448
1955-07-08 06:00:00,0.37,2.818
1955-07-08 07:00:00,0.961,3.779
1955-07-08 08:00:00,0.051,3.83
1955-07-08 09:00:00,0.059,3.8890000000000002
1955-07-08 10:00:00,0.0,3.8890000000000002
