time,prcp
1977-08-31 02:00:00,0.701
1977-08-31 03:00:00,1.78
1977-08-31 04:00:00,2.701
1977-08-31 05:00:00,1.5
1977-08-31 06:00:00,0.591
1977-08-31 07:00:00,0.0
