time,prcp
1984-06-07 21:00:00,0.118
1984-06-07 22:00:00,1.26
1984-06-07 23:00:00,0.858
1984-06-08 00:00:00,0.469
1984-06-08 01:00:00,0.098
1984-06-08 02:00:00,0.079
1984-06-08 03:00:00,0.012
